;id;city;country;lon;lat;temp;feels_like;temp_min;temp_max;pressure;humidity;wind_speed;wind_deg;cloudiness;description;datetime
44;45;Kalush;UA;24.3731;49.0119;0.38;-4.45;0.38;0.38;1014;60;05.Січ;248;54;broken clouds;1736607373
45;46;Shostka;UA;33.4698;51.863;-0.95;-4.73;-0.95;-0.95;1013;90;03.Січ;253;53;broken clouds;1736607374
46;47;Horishni Plavni;UA;33.6455;49.0097;Лют.13;-1.44;Лют.13;Лют.13;1015;73;Бер.66;297;87;overcast clouds;1736607375
47;48;Yuzhne;UA;31.1013;46.6221;Кві.33;01.Лип;Кві.33;Кві.33;1017;56;3.0;323;43;scattered clouds;1736607377
48;49;Pryluky;UA;32.3876;50.5932;-0.51;-4.1;-0.51;-0.51;1015;82;Лют.99;227;42;scattered clouds;1736607317
49;50;London;GB;-0.1257;51.5085;Бер.58;Січ.65;Лют.25;05.Чер;1031;85;02.Чер;230;5;clear sky;1736607368
50;51;Paris;FR;Лют.88;48.8534;Січ.97;-1.21;01.Січ;Бер.38;1030;86;03.Вер;330;75;broken clouds;1736607377
51;52;Berlin;DE;13.4105;52.5244;Січ.23;-5.77;0.19;Лют.21;1016;80;12.Лип;281;40;light snow;1736607104
52;53;Madrid;ES;-3.7026;40.4165;17.81;16.95;16.51;18.68;1025;50;Лип.72;300;20;few clouds;1736606704
53;54;Rome;US;-85.1647;34.257;0.79;-3.03;0.27;Січ.53;1016;84;03.Чер;310;100;overcast clouds;1736606553
54;55;Amsterdam;NL;Кві.97;52.374;05.Кві;Лют.28;03.Сер;Чер.65;1028;73;04.Гру;310;20;few clouds;1736606611
55;56;Vienna;AT;16.3721;48.2085;Лют.24;-4.76;Січ.47;Бер.27;1020;64;14.75;342;20;light rain;1736607007
56;57;Budapest;HU;19.0399;47.498;Бер.74;-1.37;Бер.25;04.Чер;1019;57;Лип.72;270;40;light rain;1736607188
57;58;Prague;CZ;14.4208;50.088;0.72;-6.28;0.16;Січ.65;1020;63;10.Сер;280;75;broken clouds;1736606990
58;59;Warsaw;PL;21.0118;52.2298;-0.14;-5.96;-1.15;0.99;1005;88;Чер.69;240;100;light snow;1736606978
59;60;Lisbon;PT;-9.1333;38.7167;17.51;17.43;17.29;17.68;1029;81;Кві.63;360;75;broken clouds;1736607094
60;61;Brussels;BE;Кві.88;50.8504;-0.3;-3.45;-0.97;0.09;1029;97;Лют.57;240;100;fog;1736607159
61;62;Oslo;NO;Жов.61;59.9127;-9.47;-14.01;-9.47;-9.47;1027;91;Лют.34;320;11;few clouds;1736607023
62;63;Stockholm;SE;18.0649;59.3326;-0.14;-5.71;-0.53;-0.14;1014;80;Чер.17;350;75;broken clouds;1736607094
63;64;Helsinki;FI;24.9355;60.1695;-2.51;-9.51;-3.09;-1.8;1009;85;Вер.83;17;75;light snow;1736607203
64;65;Copenhagen;DK;Гру.55;55.6759;01.Лип;-5.38;0.94;Січ.19;1018;68;Вер.26;340;100;overcast clouds;1736607003
65;66;Dublin;US;-121.9358;37.7021;Вер.83;Сер.57;Чер.33;11.Бер;1024;57;Лют.57;0;0;clear sky;1736607009
66;67;Zurich;CH;Сер.55;47.3667;02.Лют;-1.15;0.18;Лют.93;1026;65;03.Вер;80;20;few clouds;1736606520
67;68;Geneva;US;-88.3054;41.8875;-3.64;-8.43;-4.57;-2.64;1011;84;03.Чер;290;100;mist;1736607119
68;69;Munich;DE;Лис.55;48.1374;-1.2;-1.2;-1.64;-0.42;1026;82;0.89;316;100;overcast clouds;1736606857
69;70;Frankfurt am Main;DE;Сер.33;50.1167;Лют.59;-2.24;01.Лип;Бер.69;1027;71;Чер.17;300;0;clear sky;1736607124
70;71;Hamburg;DE;10.0;53.55;01.Сер;-3.84;1.0;Лют.38;1023;71;07.Чер;310;0;clear sky;1736606920
71;72;Barcelona;ES;2.159;41.3888;18.31;17.68;16.73;20.35;1017;57;07.Лют;220;20;few clouds;1736607108
72;73;Milan;IT;9.1895;45.4643;Чер.96;Тра.44;Тра.92;07.Тра;1018;61;Лют.24;107;0;clear sky;1736607155
73;74;Province of Turin;IT;Лип.67;45.1333;Лют.87;Лют.87;Січ.58;03.Кві;1018;70;01.Бер;0;0;clear sky;1736606972
74;75;Athens;GR;23.7162;37.9795;15.99;15.55;15.Лют;16.76;1013;73;Лют.24;134;20;few clouds;1736606993
75;76;Belgrade;RS;20.4651;44.804;04.Сер;Лют.84;Лют.81;Кві.69;1021;57;Січ.54;280;20;few clouds;1736606826
76;77;Sofia;BG;23.3242;42.6975;Січ.21;Січ.21;-0.17;Січ.21;1019;83;0.51;90;100;snow;1736606751
77;78;Bucharest;RO;26.1063;44.4323;Кві.38;Лют.58;Бер.81;05.Січ;1018;65;02.Чер;120;20;few clouds;1736606641
78;79;Bratislava;SK;17.1067;48.1482;02.Гру;-2.34;Січ.46;Лют.64;1019;71;Тра.14;260;75;light shower snow;1736606631
79;80;Ljubljana;SI;14.5051;46.0511;0.56;-1.01;0.48;Січ.42;1020;85;Січ.43;122;0;clear sky;1736607361
80;81;Donji grad;HR;15.9775;45.8131;-1.18;-3.91;-1.18;-1.18;1021;93;02.Чер;250;100;overcast clouds;1736607413
81;82;Skopje;MK;21.4333;42.0;Бер.82;Бер.82;Бер.82;Бер.82;1018;81;01.Бер;0;100;overcast clouds;1736607102
82;83;RД«ga;LV;24.0833;57.0;0.58;0.58;0.04;0.58;1006;80;0.51;310;100;overcast clouds;1736607298
83;84;Vilnius;LT;25.2798;54.6892;0.29;-2.75;-0.16;0.49;1005;83;Лют.57;170;100;overcast clouds;1736606922
84;85;Tallinn;EE;24.7535;59.437;-0.81;-6.56;-0.81;-0.81;1007;93;Чер.17;30;100;snow;1736607368
85;86;Luxembourg Province;BE;05.Тра;50.0;-0.9;-4.73;-0.9;-0.9;1029;88;Бер.17;338;38;scattered clouds;1736607262
86;87;Reykjavik;IS;-21.8954;64.1355;Кві.81;Січ.56;Кві.81;06.Тра;1014;87;04.Гру;140;75;light intensity shower rain;1736607277
87;88;Valletta;MT;14.5147;35.8997;17.Бер;16.97;17.Бер;17.77;1017;72;Чер.17;280;20;few clouds;1736607284
88;89;Monaco;MC;7.419;43.7314;Гру.74;Лис.69;Жов.78;Гру.88;1013;62;03.Чер;100;100;overcast clouds;1736607422
89;90;San Marino;SM;Гру.67;43.9333;07.Бер;Тра.68;Чер.42;Сер.16;1017;65;02.Чер;350;40;scattered clouds;1736607423
90;91;Andorra la Vella;AD;Січ.41;42.5045;Лип.61;03.Січ;0.78;Лип.61;1020;30;Вер.77;300;20;few clouds;1736607424
91;92;Sarajevo;BA;18.3564;43.8486;0.95;0.95;0.95;0.95;1020;80;01.Бер;0;75;broken clouds;1736607331
92;93;Podgorica;ME;19.2636;42.4411;Чер.88;05.Тра;Чер.88;Чер.88;1015;93;02.Чер;200;75;broken clouds;1736607426
93;94;Tirana;AL;19.8189;41.3275;Жов.49;Вер.74;Жов.49;Жов.49;1014;82;01.Бер;270;100;light rain;1736607132
94;95;ChiИ™inДѓu;MD;28.8575;47.0056;Бер.29;Бер.29;Бер.29;Кві.24;1017;71;01.Бер;270;100;overcast clouds;1736607192
